opened_time,closed_time,amount_in,amount_out,executed_price,quote_price,slippage,hash,gas_used,gas_price,sqrt_price,tick,origin,is_buy,blockNumber,lp_address,lp_feeTier,lp_liquidity,lp_tvlToken0,lp_tvlToken1,lp_tvlUSD,lp_volumeUSD,lp_volumeUSDChange,lp_volumeUSDWeek
1702308802,1702308803,0.45023190600813023,1000.0,2221.077597245945,2217.152,-3.9255972459450277,0xf9c16fd49adc4b3b4ec6283e41d73dde0a881dac96198e781fa0ad5435a26a9c,304818,41037675321,3.7348149354661295e+24,-199258,0x23ef8c4e672f260df2aa57e24dd55c07c265681f,True,18763883,,,,,,,,,
1702363834,1702363835,1.2462710731981888,2766.080224,2219.4852175311007,2211.721,-7.764217531100712,0x6134808585713cf25bb87da1ad1ab3809f257e69c0fefca3c245dfdc9e34ace6,262838,33948878562,3.732550160374901e+24,-199270,0x0da49eba10df4ed5b6420e3fe70d39549be156f0,True,18768430,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,100,585474597974242600,761.7388722983185,1531283.3843815615,3162330.207348153,77768804.07893372,18.345155677975963,572522673.4330113
1702371539,1702371539,1.75277864547645,4000.0,2282.090787860265,2226.433,-55.657787860265216,0x63b33092fbe05122707830467840df8017c724caa72f0ed3197d06df8eaa95ef,428005,32820984071,3.784906453393258e+24,-198992,0x57086efccd0bcda566f5c48a0260e76de48071a6,False,18769067,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,100,585474597974242600,713.8103780807062,1638071.8191662908,3153055.1186417677,82192706.34218073,23.675978571877383,575095311.2924018
1702299041,1702299047,0.0997,223.53303,2242.0564694082245,2239.475,-2.5814694082246206,0x01894e91c6f030588460df8fe4c4defcb23764f8cdc7d2312e260bb07287af33,582234,25484033351,3.7524183474682867e+24,-199164,0x23b126c2a38276f5c9cf5aafb13217b904956e50,True,18763075,,,,,,,,,
1702305060,1702305059,0.37,823.51011,2225.703,2220.534,-5.168999999999869,0x5754ca64865aef895e634b6f2bec54d5004b010eb0c1bc92fecbb0d4cc8db544,181554,41916162752,3.737918537021971e+24,-199242,0x1f3656f6076636703153c570a1e03d036f17e76a,True,18763574,,,,,,,,,
1702313529,1702313531,3.0,6494.529993,2164.843331,2200.542,35.69866899999988,0xf0e1ed1d4245fc031335e226baff3ea26ac2dabc7d90ce396d2189bf80d8fb1d,408261,42639209423,3.6860537236347474e+24,-199521,0xe97ae7f45d85d05c22953211705435bb4d78a510,True,18764274,,,,,,,,,
1702311788,1702311791,1.644881968321102,3606.53035,2192.57698695616,2185.584,-6.992986956160166,0x1cc28947146a632fa55e458b650d82621904918f08f6a1445e32cac3e0524e29,586287,57977117138,3.7107317372458324e+24,-199388,0x4938565def673a46fc8a91f3e887880dfd1db7e5,True,18764130,,,,,,,,,
1702371851,1702371851,1.4369868543221918,3207.088815,2231.814999109886,2226.384,-5.430999109885761,0x93a6348efa05a645473ae8cd04f586693814a012799af8acfd858890c49f22fa,275522,34311026504,3.7438170391941687e+24,-199210,0x9e67f627a17eded3fb7c71417dfe4aa7bfb4cab7,True,18769093,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,5532236377275138000,6987.281725152561,16213973.755013544,31039379.655078985,87743629.93374634,-4.949321401996294,501156528.4485016
1702322865,1702322867,0.28975673113987627,630.826257,2177.089224186053,2172.649,-4.440224186053001,0x22558aabedd1aca4716784c36e83f4a647c08f43df9bfe5b0450abe0cc410be4,232920,41393856559,3.6958144449558995e+24,-199468,0x3982ea6f4a3e26b102460feae3a6bae4616bd6d2,False,18765042,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,2764272290086864400,7887.071357087481,14359494.051792528,31455915.722495437,116550165.25463867,232.08416655229894,477376454.3464813
1702323241,1702323251,5.5,11961.199688,2174.763579636364,2172.649,-2.114579636363942,0x1d78b4323b3654ed1da18ea203edd278d0e26906b7015cacca87dc93c30f7a4f,428056,48628973854,3.695507319183766e+24,-199470,0x8779262b11ede04ba88779f4ff67ea7f84558eee,True,18765074,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,2764272290086864400,7891.997445820663,14348775.77715788,31504344.10092905,116919151.08999634,232.5077921272544,477747033.3643646
1702324622,1702324631,0.45779496417036725,1000.0,2184.384010890632,2174.659,-9.725010890631893,0x00d92d0ac185b5483610da84229ac38db9647164dbfe3ecec57b947041ec8381,280582,55474635951,3.702801810151577e+24,-199430,0xf544aec5fc048df2a4c1e03c186b0c1e1675a519,False,18765187,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,100,573214821033431740,862.4216658686311,1313504.1351237278,3192198.3037759494,82929314.17464018,52.72057382306329,587294702.0568297
1702371416,1702371419,1.2825787897179983,2868.325465,2236.3736933702617,2226.433,-9.94069337026167,0x98a26b8b77a2ba62768dd7ee557f82fca998aa429ceb7ecfd4b3f8e06d249403,363843,32905269512,3.747641089076715e+24,-199190,0xb8151f95d5657c4810685499915235baaad6d3b9,True,18769057,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,5532236377275138000,6871.365912431636,16473059.061012667,31039787.99872007,87721999.6967926,-4.857531543621572,501176677.61750793
1702362840,1702362851,0.6742424307160517,1495.180044,2217.5703810454424,2211.788,-5.782381045442435,0xba3add3efcd8b291198b1f91fe1fbef2d30081c05180a89fbf3136a39507df0f,294209,36531581866,3.7308548193472346e+24,-199279,0x6e01fb196ae78f137db0a0e439496753e4625611,False,18768349,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,100,585474597974242600,767.3863216324233,1518754.6459027021,3161984.978206602,77888397.986485,20.356094200073148,573514994.6545134
1702337471,1702337483,5.442002217650808,12093.86282,2222.3186129498954,2215.486,-6.83261294989552,0xb3d8104fba2d4aa19b0b87f895618f985549c77a21412b3c30d4a6dfdd76ec1c,1000000,46436283648,3.73576580684044e+24,-199253,0xfe0c760cbcb9da239b9ba805f0aeaed3be84f65a,True,18766252,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,4758674396790804000,7233.81213387858,15796756.587183245,31216020.004926194,118588670.59541321,181.1764051198933,486417370.70318604
1702350821,1702350827,1.5626780139147782,3500.0,2239.744828323204,2228.757,-10.987828323203757,0x3cf025e7a16a6c24dba0975e6fbae19c27644280b61f503b63d01b1dbdab781b,256695,32234988206,3.748635495375493e+24,-199184,0x662585f660f1c38b0150bffed74096be688fd076,False,18767355,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,5425960831037765000,6847.604469509463,16504017.434764743,30877865.019266546,98940782.02680969,42.7124715833439,495220438.7762604
1702354869,1702354871,0.039043723572627226,87.116612,2231.257780471423,2228.06,-3.1977804714229023,0xe27ba694867c07be54ee9beca638037dae540a42802f82b0f683877d8cff5def,317684,25126603218,3.743371991736442e+24,-199212,0xe742be590099afb69a76424aa320068d9bacef7b,True,18767689,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,5425960831037765000,7008.893109531434,16143455.099320084,30983287.652542,95503248.0024414,27.20726365505862,496950488.89974976
